titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;nombre_categoria
Bacalao con verduras al horno y aceitunas;https://images.hola.com/imagenes/cocina/recetas/20230313228119/bacalao-verduras-horno-aceitunas/1-219-340/bacalao-verduras-adobe-z.jpg;4 COMENSALES;35min;Fácil;['4 lomos de Bacalao fresco', '1 unidad de Berenjena', '12 ud de Tomates cherry', '12 ud de Patatas pequeñitas', '4 ud de Cebollitas francesas', '8 ud de Aceitunas negras', '16 ud de Alcaparras', '4 dientes de Ajo', '1 chorrito de Vino blanco', 'Aceite de oliva virgen extra', 'Sal', 'Perejil fresco'];['Lava, seca y corta por la mitad los tomates. Lava, seca y corta la berenjena en trozos.', 'Pela las cebollitas y las patatas y corta ambas por la mitad.', 'Precalienta el horno a 180 grados.', 'Pela los ajos, troceálos y echa en un mortero junto al perejil para majarlos. Añade una pizca de aceite y mezcla bien.', 'En una fuente de horno, coloca los tomates, la berenjena, las cebollitas y las patatas.', 'Pon los lomos de bacalao salpimentados encima, con la piel para abajo, y cúbrelos con la ajada de perejil y ajo.', 'Añade el chorrito de vino blanco y mete en el horno durante 20-25 minutos a 180 grados.', 'Saca con cuidado, sirve todo en el plato y añade las aceitunas negras y las alcaparras.'];pescados
Salmón a la plancha con judías verdes;https://images.hola.com/imagenes/cocina/recetas/20230313228094/salmon-plancha-judias-verdes/1-219-177/salmon-adobe-z.jpg;4 COMENSALES;25min;Fácil;['8 lomos de Salmón congelado no muy gruesos', '300 g de Judías verdes congeladas', '8 ud de Chile rojo o pimientos dulces pequeños', 'Romero', 'Sal', 'Pimienta negra', 'Aceite de oliva virgen extra', 'Limón'];['Descongela el salmón 1 día antes dentro de la nevera y sécalo muy bien.', 'Pon en el fuego una olla con agua y sal y cuando hierve, echa las judías verdes y espera unos 10 minutos.', 'Echa aceite en una sartén y cocina el salmón salpimentado a la plancha por ambas caras.', 'Sirve el salmón con las judías escurridas, unas rodajas de limón, un poco de romero y los pimientos.'];pescados
Lenguado con champiñones y un toque de piel de limón;https://images.hola.com/imagenes/cocina/recetas/20230306227641/lenguado-champinones-toque-piel-limon/1-214-573/pescado-champi-age-z.jpg;4 COMENSALES;20min;Fácil;['2 ud de Lenguado sin piel ni espinas, en trozos', '400 g de Champiñones', 'Aceite de oliva virgen extra', 'Sal', 'Pimienta', 'Piel de limón', 'Hierba aromática'];['Limpia bien los champiñones y córtalos en láminas no excesivamente finas.', 'Salpimenta los trozos de lenguado fresco.', 'Pon al fuego una sartén parrilla y otra sartén normal.', 'Cocina a la parrilla los trozos de lenguado con un poquito de aceite.', 'Saltea los champiñones en la sartén con otro pelín de aceite, sal y pimienta al gusto.', 'Sirve los trozos de lenguado con los champiñones y añade unas tiritas de limón muy finas y alguna hierba aromática fresca.'];pescados
'Bocadillo' de aguacate y salmón;https://images.hola.com/imagenes/cocina/recetas/20230301227351/bocadillo-aguacate-salmon/1-211-655/bocadillo-aguacate-age-c.jpg;1 PORCIONES;10min;Fácil;['1 Aguacate maduro', 'Salmón ahumado', 'Cebolla morada', 'Mezclum de lechugas', 'Pepino', 'Sal', 'Aceite de oliva virgen extra', 'Semillas de sésamo blancas y negras'];"['Pelamos el acuacate, lo cortamos por la mitad de forma horizontal y retiramos el hueso.', 'Picamos en juliana un poco de cebolla morada.', 'Lavamos las hojas de lechuga (pueden ser también berros, rúcula...).', 'Lavamos el pepino y cortamos unas láminas finas en sentido vertida con ayuda de una mandolina.', ""Sobre una de las mitades del aguacate colocamos unas lonchas de salmón ahumado, un poco de cebolla, las lonchas de pepino dobladas y un puñadito de mezclum de lechugas. Espolvoreamos una pizca de sal, sumamos un poquito de aceite de oliva y 'tapamos' con la otra mitad del aguacate. Decoramos la parte superior con unas semillas blancas y negras de sésamo.""]";pescados
Chapata de pescado rebozado con salsa tártara, limón y rúcula;https://images.hola.com/imagenes/cocina/recetas/20230220226756/chapata-pescado-rebozado-salsa-tartara/1-206-666/chapata-pescado-adobe-c.jpg;4 COMENSALES;20min;Fácil;['4 ud de Pan de chapata individuales', '4 filetes de Pescado blanco limpios', '4 puñados de Rúcula y espinacas', '1 unidad de Limón', '2 ud de Huevo', 'Pan rallado', 'Sal', 'Aceite de oliva', '8 cc de Mahonesa', '0.5 unidad de Cebolleta', '1 cucharadita de Mostaza', '3 ud de Pepinillos'];['Empieza haciendo la salsa y para ello pica finitos los pepinillos y la cebolleta.', 'Échalos en un bol y mezcla con la mahonesa y la mostaza. Reserva en la nevera.', 'Seca bien el pescado y échale un poco de sal. Pásalo por huevo batido y pan rallado.', 'Calienta aceite en una sartén y dora los filetes de pescado por ambas caras. Saca sobre papel de cocina.', 'Lava, seca y corta el limón en rodajas.', 'Corta los panes por la mitad -lo puedes tostas si prefieres- y unta las dos tapas con un poco de la salsa tártara.', 'Coloca encima los filetes de pescado, un poco de rúcula y espinaca y las rodajas de limón.', 'Pon las tapas de cada bocadillo de chapata y sirve calentito.'];pescados
Pizza con base de piadina, boquerones y cebolla morada;https://images.hola.com/imagenes/cocina/recetas/20230220226723/pizza-con-base-piadina-boquerones-cebolla-morada/1-206-376/boquerones-adobe-z.jpg;4 COMENSALES;10min;Fácil;['2 ud de Piadina', '1 unidad de Cebolla morada', '16 ud de Boquerones en vinagre', '1 cuña de Queso ahumado', 'Pimienta negra', 'Aceite de oliva virgen extra'];['Pela y corta la cebolla morada en juliana.', 'Corta el queso en láminas no muy gruesas.', 'Coloca 2 sartenes al fuego y cuando estén calientes mete dentro las piadinas.', 'Espera 3 minutos, dales la vuelta y añade la cebolla y el queso.', 'Tapa y espera 3 minutos más para sacarlas y agregar los boquerones en vinagre.', 'Añade un chorrito de aceite y un toque de pimienta negra recién molida.'];pescados
Ceviche templado de lascas de skrei noruego;https://images.hola.com/imagenes/cocina/recetas/20230214226393/ceviche-templado-lascas-skrei-noruego/1-203-940/ceviche-skrei-z.jpg;4 COMENSALES;35min;Fácil;['500 g de Bacalao skrei', '1 unidad de Cebolla', '4 ud de Tomates rallados', '1 unidad de Pimiento rojo', '1 unidad de Pimiento verde', '1 unidad de Limón', '1 puñado de Aceitunas negras', '1 litro de Aceite de oliva', '100 ml de Aceite de oliva virgen extra', '1 cucharada de Perejil fresco picado', 'Vinagre de Jerez', 'Sal'];['Salar el skrei durante 10 minutos, limpiar en agua fría y dejar secar en papel absorbente.', 'Confitar el skrei en aceite de oliva durante 10 min. a 50°C, dejar escurrir 10 min. y separar las lascas.', 'Cortar la cebolla en juliana y cubrir con vinagre de Jerez y sal.', 'Cortar los pimientos en juliana y picar las aceitunas negras.', 'Emplatar poniendo de base el tomate rallado, sal y aceite de oliva. Colocar encima el pimiento verde, el pimiento rojo, la cebolla y las lascas de skrei.', 'Decorar con un toque de cebolla en el medio del plato y unas aceitunas negras. Aliñar con limón, perejil picado y aceite de oliva virgen extra.'];pescados
Skrei noruego con puré de zanahorias, avellanas y tocino;https://images.hola.com/imagenes/cocina/recetas/20230214226401/skrei-noruego-pure-zanahorias-avellanas-tocino/1-204-2/skrei-zanahoria-z.jpg;4 COMENSALES;40min;Fácil;['4 lomos de Bacalao skrei con piel (150 gramos cada uno)', '800 g de Zanahorias peladas', '250 g de Mantequilla', '4 cs de Café', '4 cs de Salsa de soja', '100 g de Tocino', 'Perejil fresco picado', 'Romero', 'Sal'];['Precalentar el horno a 180ºC.', 'En una bandeja de horno, poner las zanahorias cortadas, la mantequilla, las cucharadas de café y la sal.', 'Hornear durante 10 minutos, sacar con cuidado y triturar para obtener un puré.', 'En una sartén, añadir el aceite de oliva y marcar el skrei por el lado de la piel. Incorporar el diente de ajo, el romero y añadir la sal.', 'Pasar a una bandeja de horno y hornear a 180ºC durante 5-6 minutos.', 'Tostar el tocino en una sartén y cuando este tostado, retirar a un bol e incorporar las avellanas troceadas, la salsa de soja y el perejil fresco picado.', 'Colocar el skrei en los platos con el puré de zanahorias y la picada y regar con un chorrito de aceite de oliva virgen extra.'];pescados
Skrei noruego con 'concassé' de tomates y puré de patata;https://images.hola.com/imagenes/cocina/recetas/20230214226398/skrei-concasse-tomates-pure-patata/1-203-965/skrei-concasse-z.jpg;4 COMENSALES;40min;Fácil;['4 lomos de Bacalao skrei noruego de 150 gramos cada uno', '4 ud de Tomates', '1 diente de Ajo', '1 cucharada de Alcaparras', '1 cucharada de Cebollino', '1 cucharada de Jengibre fresco', '2 cs de Salsa de soja', '200 g de Mantequilla', '400 g de Patatas cocidas sin piel', '150 g de Leche nata', '1 pizca de Pimentón', 'Aceite de oliva virgen extra', 'Sal', 'Pimienta'];"['Marcar los lomos de skrei en la sartén por la parte de la piel durante 8 min. y terminar en el horno precalentado a 180ºC durante 5 min. en una bandeja con un poco de aceite de oliva por encima.', 'Escaldar los tomates durante 40 segundos en una olla con agua hirviendo, quitar la piel y las pepitas y cortarlos en dados.', 'En una sartén al fuego, añadir 100 gramos de mantequilla y calentar hasta obtener un punto avellana.', 'Añadir el ajo y el jengibre rallados, las alcaparras y la salsa de soja.', 'Apagar el fuego e incorporar el tomate, el cebollino, la sal y la pimienta.', 'En un cazo, calentar la mantequilla y una vez derretida, incorporar la nata.', 'Añadir la patata cocida, salpimentar y triturar.', ""Poner una base de puré, colocar el skrei encima y decorar con el 'concassé'."", 'Espolvorear con pimentón y terminar con un chorrito de aceite de oliva virgen extra.']";pescados
Bacalao con salsa de limón y falsa croqueta de piquillos;https://images.hola.com/imagenes/cocina/recetas/20230203225762/bacalao-salsa-limon/1-199-129/bacalao-limon-age-c.jpg;4 COMENSALES;40min;Fácil;['4 Supremas de bacalao', 'Piel de limón (de 1 limón) en juliana', '1 cucharadita de Guindilla (escamas)', 'Eneldo', 'Sal', 'Pimienta', '50 g de Mantequilla', '2 Yemas de huevo', 'Zumo de 1 limón', '1 cucharada de Sal', '5 Pimientos del piquillo', '100 g de Queso Idiazábal rallado', '60 ml de Mayonesa', 'Sal'];"['Derretir la mantequilla en un cazo.', 'Añadir la harina, tostarla y agregar 200 ml de agua fría poco a poco y mezclando sin cesar durante 5 minutos.', 'Batir en un cuenco las yemas con el zumo de limón.', 'Verter 2 o 3 cucharadas del contenido del cazo y mezclar.', 'Echar esta mezcla al cazo, salar, mezclarlo bien todo y mantener la salsa al calor.', 'Triturar en un robot el queso con los pimientos.', 'Añadir la mayonesa y una pizca de sal y triturar. Reservar la mezcla.', 'Cocer 5 minutos al vapor las supremas de bacalao y gratinarlas en el grill a máxima temperatura 2 o 3 minutos.', 'Repartir la salsa de limón en los platos y poner sobre ella las supremas de bacalao gratinadas.', ""Salpimentarlas y colocar encima una 'croqueta' de la pasta de piquillos formada con ayuda de 2 cucharas (a modo de quenelle)"", 'Espolvorear con las escamas de guindilla y decorar con la juliana de limón y las ramitas de eneldo.', 'Para que la salsa de limón no se enfríe, se puede mantener en un cuenco dentro de un cazo con agua al fuego al mínimo hervor.']";pescados
