titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;nombre_categoria
Focaccia de cerezas;https://images.hola.com/imagenes/cocina/recetas/20230323228720/focaccia-cerezas/1-224-278/focaccia-cerezas-adob-c.jpg;6 COMENSALES;30min;Fácil;['210 ml de Leche entera', '1 cucharadita de Sal', '50 g de Azúcar', '8 g de Levadura fresca', '400 g de Harina de fuerza', '100 g de Mantequilla', '15 Cerezas deshuesadas y partidas por la mitad'];['Poner en un vaso la leche con el azúcar y la levadura y disolverlas muy bien.', 'Disponer en un recipiente hondo y grande la harina con la sal, hacer un hueco en el centro y añadir la leche.', 'Derretir 80 g de mantequilla en el microondas, incorporarla y seguir mezclando.', 'Cuando esté todo más o menos integrado, pasar a amasar con las manos hasta que la masa esté lisa y elástica.', 'Hacer una bola y dejarla en el recipiente tapada con un paño y en un lugar libre de corrientes de aire durante 2 h o hasta que doble su volumen.', 'Pasado este tiempo, estirar en un papel de cocina, dar forma de rectángulo de unos 15 x 25 cm y dejar reposar tapada con el paño 1 h más.', 'Con los dedos engrasados, formar cavidades en la masa para introducir las mitades de cereza.', 'Precalentar el horno a 180º. Pincelar con los 20 g de mantequilla restantes y hornear durante unos 30 minutos o hasta que comience a dorarse.', 'Servir templada.'];frutas
Gofres con puré de aguacate y huevo frito sin aceite;https://images.hola.com/imagenes/cocina/recetas/20230323228693/gofres-pure-aguacate-huevo-frito-sin-aceite/1-224-139/calabacin-huevo-adobe-z.jpg;2 COMENSALES;35min;Fácil;['200 g de Harina', '300 ml de Leche', '2 ud de Huevo', '80 g de Mantequilla', '1 cucharada de Levadura en polvo', '1 pizca de Sal', '1 unidad de Aguacate', '0.5 unidad de Cebolleta', 'Zumo de limón', 'Cilantro', 'Sal', '2 ud de Huevo', 'Rúcula', 'Pimienta negra'];['Funde la mantequilla y mezcla con la leche.', 'Incorpora la harina, la levadura, un poco de sal y los dos huevos.', 'Tritura todo hasta tener una masa compacta. Reserva.', 'Pela y quita el hueso del aguacate y pica la cebolleta.', 'Mezcla el aguacate, la cebolleta, zumo de limón, cilantro y sal y tritura con la batidora.', 'Engrasa la gofrera con un poco de mantequilla o aceite y ve haciendo los gofres no muy gruesos.', 'Extiende el puré de aguacate sobre los gofres y coloca uno encima de otro.', 'Pon una sartén al fuego y echa un poco de agua. Agrega una pizca de sal y casca el huevo con cuidado', 'Tapa y espera a que el huevo se cocine. Sácalo con cuidado y pon una pizca de sal más por encima.', 'Coloca el huevo encima del dúo de gofres y añade un poco de rúcula.'];frutas
Tosta de aguacate con burrata y anchoas;https://images.hola.com/imagenes/cocina/recetas/20230321228523/tosta-aguacate-burrata-anchoas/1-222-816/aguacate-anchoa-adobe-z.jpg;4 COMENSALES;10min;Fácil;['4 rebanadas de Pan', '1 unidad de Aguacate', '4 filetes de Anchoas en conserva', '1 bola de Burrata', 'Sal', 'Aceite de oliva virgen extra', 'Pimienta', 'Hierbas aromáticas'];['Quita la piel y el hueso del aguacate y corta en láminas.', 'Pica las anchoas en trocitos y desmenuza la burrata también en trozos.', 'Tuesta el pan y coloca encima el aguacate y unos trozos de queso.', 'Añade un poco de sal, aceite de oliva virgen extra y pimienta.', 'Incorpora las anchoas y las hierbas aromáticas.'];frutas
'Smoothie' de frutos rojos, rúcula y jengibre;https://images.hola.com/imagenes/cocina/recetas/20230307227703/smoothie-frutos-rojos-rucula-jengibre/1-215-76/morandolaflorette-z.jpg;2 COMENSALES;10min;Fácil;['200 g de Frutos rojos congelados', '200 ml de Leche o bebida vegetal', '120 g de Yogur griego', '20 g de Rúcula', 'Jengibre fresco al gusto', 'Edulcorante al gusto'];['Reserva unos cuantos frutos rojos para decorar.', 'Tritura todos los ingredientes menos la rúcula hasta conseguir una mezcla cremosa y homogénea.', 'Sirve en unos vasos o jarras y decora con los frutos rojos reservados y unas hojitas de rúcula.'];frutas
Tartaletas de manzana con frutos secos y miel;https://images.hola.com/imagenes/cocina/recetas/20230301227355/tartaletas-manzana-frutos-secos/1-211-695/tartaletas-manzana-age-c.jpg;6 PORCIONES;40min;Fácil;['6 Manzanas', '200 g de Mantequilla', '375 g de Harina', '2 Yemas de huevo', '50 g de Dátiles deshuesados y troceados', '100 g de Nueces', '0.25 cucharadita de Clavo', '0.25 cucharadita de Nuez moscada', '5 cs de Miel', '1 cucharadita de Canela'];['Mezclar la mantequilla a temperatura ambiente con la harina, añadir las 2 yemas y amasar hasta que pueda manejarse bien la masa.', 'Hacer una bola, cubrir con papel film y refrigerar 1 h.', 'Pasado este tiempo, estirar la masa con un rodillo de cocina hasta conseguir un grosor de ½ cm y sacar seis círculos de unos 10 cm de diámetro.', 'Forrar seis moldes para tartaletas, pinchar la masa con un palillo y refrigerar durante 1 h más.', 'Hornear (con un  puñado de legumbres encima para que no crezca la masa) a 180º hasta que comiencen a dorarse.', 'Lavar las manzanas y colocarlas en una fuente apta para horno con un poco de agua y hornear a 180º durante 40 minutos o hasta que la piel se tueste y empiece a cuartearse. Retirar y dejar enfriar. Cortar la parte inferior, quitar las pepitas del corazón y reservar.', 'Partir en trocitos pequeños las partes de abajo de las manzanas y mezclar con los frutos secos, las especias y 3 cucharadas de miel.', 'Repartir el relleno entre las seis tartaletas, colocar cada una de las manzanas encima, rociarlas con las 2 cucharadas de miel restantes y servir.', 'Tip: Puedes acompañar con un poco de helado o crema pastelera.', 'Tips: Si no se dispone de mucho tiempo, se puede sustituir la elaboración de la masa por una masa brisa precongelada y hornearse todo a un mismo tiempo, con el relleno y la manzana ya añadidos.'];frutas
Postre de mango, yogur y muesli;https://images.hola.com/imagenes/cocina/recetas/20230221226852/postre-mango-yogur-muesli/1-207-431/mango-platano-adobe-c.jpg;4 PORCIONES;15min;Fácil;['1 Mango maduro', '2 Yogures giregos', '1 Plátano grande', '8 cs de Muesli', '3 rodajas de Piña en almíbar', 'Menta'];"['Pelar y trocear el mango de dados.', 'Pelar el plátano y cortarlo en rodajas.', 'Cortar las rodajas de piña en cachitos.', 'Ir disponiendo los distintos ingredientes por capas en cada tarrito de cristal, tal y como vemos en la imagen: primero dos cucharadas de yogur, después un par de cucharadas de muesli, a continuación dos o 3 rodajas de plátano; dos o tres cachitos de pila y varios dados de mango. De nuevo un par de cucharadas de yogur. Terminamos con un poco de piña, varios cachos de mango y un poquito de más muesli.', 'Por último, decoramos cada tarro con unas hojitas de menta fresca.']";frutas
'Blinchikis' con miel, nueces y plátano;https://images.hola.com/imagenes/cocina/recetas/20230221226820/blinchickis-miel-nueces-platano/1-207-172/russian-age-z.jpg;6 COMENSALES;25min;Fácil;['175 g de Harina', '400 ml de Leche', '1 unidad de Huevo', '2 cs de Azúcar blanca', '1 pizca de Sal', '1 pizca de Bicarbonato', '1 chorrito de Nata', '4 cc de Nueces picadas', '4 cc de Miel', '2 ud de Plátano'];"['En un bol grande mezcla la harina, la sal, el azúcar y el bicarbonato.', 'Añade el huevo, la leche y la nata y bate con la batidora.', 'Pon dos sartenes al fuego para ir más rápido.', 'Echa un poco de mantequilla en cada una de ellas.', 'Añade un cucharón de la masa y extiende haciendo círculos con la sartén para que cubra toda la superficie.', 'Da la vuelta y saca cuando esté dorada la oblea.', ""Apila las 'blinchickis' y cubre con la miel, el plátano cortado en rodajas y las nueces picadas.""]";frutas
Gofres con nata semi-montada, fresas y pistachos;https://images.hola.com/imagenes/cocina/recetas/20230220226766/gofres-nata-fresas-pistachos/1-206-740/gofres-fresas-adobe-c.jpg;6 COMENSALES;30min;Fácil;['250 g de Harina', '250 ml de Leche', '100 g de Mantequilla derretida', '16 g de Levadura en polvo', '100 g de Azúcar blanca', '1 pizca de Sal', '1 unidad de Huevo', '200 g de Fresas', '150 g de Pistachos picados', '8 cc de Sirope de arce', '8 cs de Nata semimontada'];['Echa en un bol la mantequilla fundida, el huevo y el azúcar y bate bien.', 'Incorpora la leche tibia, mezcla y ahora echa la harina, la levadura y la sal.', 'Mezcla bien.', 'Engrasa la grofera con un poco de mantequilla derretida y untada con un pincel.', 'Ve repartiendo la mezcla y haciend los gofres -te saldrán 6 unidades-.', 'Añade la nata semi-montada, las fresas, el polvo de pistacho y el sirope de arce por encima de cada gofre.'];frutas
Tostadas de centeno y semillas con ricotta, miel y arándanos frescos;https://images.hola.com/imagenes/cocina/recetas/20230220226763/tostadas-centeno-ricotta-miel-arandanos/1-206-716/ricotta-arandanos-adobe-c.jpg;4 COMENSALES;10min;Fácil;['8 rebanadas de Pan de centeno', '8 cs de Ricotta', '8 cc de Miel', '8 cs de Arándanos frescos', 'Menta fresca'];['Tuesta las rebanadas de pan de centeno y semillas-', 'Extiende la ricotta encima de cada tostada.', 'Lava y seca bien los arándanos frescos para echarlos encima del queso.', 'Añade una cucharadita de miel y unas hojitas de menta fresca.'];frutas
Tostadas de pera con nueces pecanas;https://images.hola.com/imagenes/cocina/recetas/20230217226624/tostadas-pera-nueces-pecanas/1-205-612/tostas-pera-adob-c.jpg;1 COMENSALES;10min;Fácil;[];['Untamos las rebanadas de pan wasa con una capa generosa de queso crema.', 'Lavamos bien la pera. La secamos y cortamos la cortamos en láminas finas en vertical (como figura en la imagen).', 'Disponemos tres láminas  de pera en cada tosta, sumamos unas nueces pecanas picadas, unos arándanos y decoramos con unas hojitas de menta.'];frutas
Bol de yogur y mandarinas;https://images.hola.com/imagenes/cocina/recetas/20230217226625/bol-yogur-mandarinas/1-205-619/bol-mandarinas-adobe-c.jpg;1 PORCIONES;10min;Fácil;['1 Mandarina', '125 g de Yogur cremoso natural', 'Muesli o granola al gusto'];"['Tan sencillo como saludable y sabroso. En un bol disponemos el yogur, mezclamos con 3 o 4 cucharadas de muesli, mezclamos.', ""A continuación disponemos por encima los gajos de mandarina, y ya tenemos listo un desayuno 'healthy', donde se combina la cremosidad, con 'crunchy' de los cereales y el dulzor natural de la fruta.""]";frutas
Batido de manzana, plátano y canela;https://images.hola.com/imagenes/cocina/recetas/20230217226627/batido-manzana-canela/1-205-622/batido-manzana-adob-c.jpg;2 PORCIONES;15min;Fácil;['2 Manzanas rojas', '1 Plátano', '1 Yogur natural', '0.5 vaso de Leche', '1 cucharadita de Canela en polvo', '2 cs de Muesli'];['Pela y trocea la fruta', 'Introduce todos los ingredientes menos el muesli en el vaso batidor. Acciona hasta conseguir la textura deseada (si prefieres más líquido, echa más leche y menos yogur, y si prefieres más denso, al contrario).', 'Sirve los batidos en los vasos, decora cada uno con una cucharada de muesli en la superficie y coloca unas pajitas.'];frutas
Bagel con fruta, mermelada y queso;https://images.hola.com/imagenes/cocina/recetas/20230217226626/bagel-frutas/1-205-621/bagel-fruta-adobe-c.jpg;1 PORCIONES;15min;Fácil;['1 Bagel', 'Queso cremoso', '2 cc de Mermelada de naranja', '0.5 Kiwi', '0.5 Plátano', 'Granada (unos granos)', 'Semillas de sésamo negro', 'Menta', 'Mandarina (unos gajos)'];['Ponemos a tostar el bagel.', 'Mientras cortamos en rodajas finas el wiki y el plátano.', 'Untamos la parte inferior del bagel con una capa de queso cremoso. Encima disponemos una capa mermelada de naranja.', 'Sobre la mermelada disponemos unas rodajas de kiwi y de plátano. Sumamos unos granos de granada. Espolvoreamos unas semillas de sésamo y decoramos con unas hojitas de menta.', 'Decoramos el plato alrededor con granos de granada, hojas de menta y unos gajos de mandarina.'];frutas
