titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;nombre_categoria
Gnoccis con mantequilla de ajo y nueces;https://images.hola.com/imagenes/cocina/recetas/20230221226823/gnoccis-mantequilla-ajo-nueces/1-207-189/gnocci-nueces-age-z.jpg;4 COMENSALES;15min;Fácil;['400 g de Ñoquis', '5 dientes de Ajo', '80 g de Mantequilla', '100 g de Nueces', 'Sal', 'Perejil fresco'];['Pela los dientes de ajo y lamínalos.', 'Pon una olla con agua y sal en el fuego y espera a que hierva.', 'Añade los ñoquis y cuece el tiempo que indique el fabricante en su envase.', 'Echa la mantequilla en una sartén y añade los ajos.', 'Cuando empiecen a dorarse ligeramente, incorpora los ñoquis y dales una vuelta.', 'Agrega las nueces picadas y el perejil fresco también picadito.'];lácteos
Crudités con salsa de yogur;https://images.hola.com/imagenes/cocina/recetas/20230207225971/crudites-con-salsa-yogur/1-200-621/crudites-yogur-adobe-z.jpg;4 COMENSALES;15min;Fácil;['1 unidad de Pimiento rojo', '2 tallos de Apio', '2 ud de Zanahoria', '2 ud de Pepino', '1 unidad de Yogur', 'Zumo de lima', 'Hierbas aromáticas muy picaditas', 'Sal'];['Mezcla todos los ingredientes de la salsa en un bol y conserva en la nevera.', 'Pela las zanahorias y corta en bastoncitos.', 'Lava, seca y corta el pepino también de la misma forma.', 'Lava, seca, quita el rabo y las semillas y corta en bastones.', 'Lava, seca, quita algunos hilos del apio y corta de la misma manera.', 'Coloca cada vegetal en un vasito y sirve con la salsa de yogur.'];lácteos
Kéfir casero;https://images.hola.com/imagenes/cocina/recetas/20220624212473/kefir-casero/1-106-111/kefir-adobe-z.jpg;;23h 0min;Fácil;['1 gramo de Granos de kéfir', '1 litro de Leche'];['Echa los granos de kéfir en un tarro grande de cristal', 'Cubre con la leche dejando un trozo sin llenar.', 'Tapa con un paño, guarda en un lugar oscuro -no en la nevera- y deja que repose durante 24 horas.', 'Cuela la leche y ese es el kéfir que puedes tomar. Los gránulos consérvalos para hacer más cantidad, añadiendo leche en veces sucesivas y siempre tendrás este saludable producto disponible.'];lácteos
Pepinos rellenos de 'ricotta' y chile;https://images.hola.com/imagenes/cocina/recetas/20210927196707/pepinos-rellenos-ricotta/0-998-913/pepinos-adobe-z.jpg;4 COMENSALES;10min;Fácil;['2 ud de Pepino', '8 cs de Ricotta', '1 unidad de Chile rojo', '1 chorrito de Zumo de limón', 'Sal', 'Pimienta', 'Aceite de oliva virgen extra'];['Lava los pepinos, corta los extremos y pela la piel dejando un poco a lo largo.', 'En un bol mezcla el queso, zumo de limón, aceite de oliva, sal y pimienta.', 'Corta el pepino en 3 partes y rellena cada una con la mezcla anterior.', 'Sirve en un plato o bandeja y decora cada cilindro de pepino con una rodaja de chile y alguna hierba aromática fresca.'];lácteos
Brazo de gitano con nata;https://images.hola.com/imagenes/cocina/recetas/20210907195657/brazo-gitano-con-nata/0-991-774/nata-age-z.jpg;;45min;Fácil;['4 ud de Huevo', '100 g de Harina', '100 g de Azúcar blanca', '1 cucharadita de Azúcar de vainilla', '0.5 litro de Nata para montar', '1 decilitro de Amaretto licor de almendras', '50 g de Azúcar blanca', '0.5 litro de Nata para montar', '50 g de Azúcar blanca'];['Para hacer el bizcocho separa las claras de las yemas de los huevos.', 'Monta las yemas con el azúcar hasta que estén casi blancas.', 'Por otro lado, monta las claras a punto de nieve.', 'Junta con cuidado, las yemas con las claras y añade la harina, poco a poco, haciendo la mezcla muy suavemente para que no se baje.', 'Cubre una bandeja de horno con papel engrasado y extiende una capa de la masa de 1 cm de grosor.', 'Mete en el horno precalentado a 180ºC, durante 10 minutos aproximadamente.', 'Al sacar el bizcocho de horno, humedece ligeramente el papel, despega, espolvores el bizcocho con azúcar y enrolla con la ayuda de un paño. Deja que se enfríe.', 'Para el relleno monta la nata con el azúcar y añade el licor de almendras. Mezcla bien.', 'Desenrolla el bizcocho y extiende sobre él la crema anterior. Vuelve a enrollarlo.', 'Para la cobertura monta la nata con el azúcar (cuando montes la nata, ten la precaución de que esté bien fría),', 'Cubre el brazo de gitano con la nata montada y mete a enfriar en la nevera.'];lácteos
Tartitas de queso con tomate y pimiento rojo;https://images.hola.com/imagenes/cocina/recetas/20210827195115/tartitas-queso-tomate-pimiento/0-988-377/tarta-tom-queso-age-z.jpg;4 COMENSALES;30min;Fácil;['1 plancha de Masa de hojaldre', '1 kilogramo de Tomates cherry', '200 g de Queso mozzarella', '1 puñadito de Mezcla de hierbas aromáticas', '1 bote de Pimiento rojo asado en tiras', 'Sal', 'Pimienta negra'];['Precalienta el horno a 180ºC.', 'Extiende el hojaldre con un rodillo sobre una superficie enharinada y corta en 4 cuadrados iguales.', 'Lava, seca y corta los tomates cherrys.', 'Escurre bien las tiras de pimiento rojo de su conserva.', 'Coloca encima de los hojaldres los tomates, las tiras de pimiento y el queso troceado.', 'Añade una pizca de sal y de pimienta, un chorrito de aceite  y las hierbas aromáticas que más te gusten.', 'Coloca los hojaldres en una bandeja de horno cubierta con papel o silicona.', 'Introduce en el horno, con calor arriba y abajo, durante unos 25 minutos o hasta que veas que el hojaldre está dorado.', 'Saca con cuidado y sirve.'];lácteos
Lasaña fría de berenjena con tomate y queso;https://images.hola.com/imagenes/cocina/recetas/20210806194254/lasana-fria-berenjena-tomate-queso/0-983-242/berenjena-queso-age-z.jpg;4 COMENSALES;35min;Fácil;['1 unidad de Berenjena', '1 unidad de Calabacín', '1 unidad de Tomate', '8 lonchas de Queso', '150 g de Queso fresco', 'Albahaca', 'Orégano', 'Sal', 'Aceite de oliva virgen'];['Lava, seca y corta en láminas a lo largo tanto el calabacín como la berenjena.', 'Cocina las láminas de berenjena y calabacín a la plancha con un poco de aceite y sal, saca y deja enfriar.', 'Desmenuza el queso fresco y mezcla en un bol con un poco de aceite y orégano.', 'Lava, seca y corta en rodajas el tomate.', 'Monta la lasaña intercalando láminas de berenjena y de calabacín, lonchas de queso, el queso fresco y hojas de albahaca.', 'Decora con unas hojas de albahaca y termina con un chorrito de aceite de oliva.'];lácteos
Pastel de queso de cabra y calabacín;https://images.hola.com/imagenes/cocina/recetas/20210721193444/pastel-de-queso-de-cabra-y-calabacin/0-977-839/cabra-calabacin-adobe-z.jpg;4 COMENSALES;1h 0min;Fácil;['2 brik 1/4 litro de Nata para cocinar', '2 ud de Calabacín', '1 unidad de Cebolla', '200 g de Queso de cabra de rulo', '4 ud de Huevo', 'Sal', 'Pimienta negra', 'Aceite de oliva', 'Hierbas aromáticas'];['Lavar, seca los calabacines y pícalos en daditos pequeños.', 'Pela y pica también la cebolla.', 'Rehoga en una sartén con aceite el calabacín y la cebolla y salpimenta.', 'Bate los huevos, añade la nata y agrega la cebolla y el calabacín rehogados.', 'Incorpora unos trozos de queso de cabra y el resto córtalo en rodajas.', 'Engrasa un molde con aceite, vuelca la mezcla y coloca por encima las rodajas de queso de cabra.', 'Hornea unos 30-35’  minutos a 180 grados, con el horno precalentado hasta que esté ligeramente dorado el queso.', 'Saca con cuidado del horno, espolvorea hierbas aromáticas y consume templado o frío.'];lácteos
'Waffles' con cítricos, 'labneh', miel y pistachos;https://images.hola.com/imagenes/cocina/recetas/20210708192774/waffles-con-citricos-labneh-pistachos/0-973-192/waffles-age-c.jpg;4 COMENSALES;20min;Fácil;['4 ud de waffles', '1 unidad de Naranja sanguina', '1 unidad de Pomelo', '1 puñado de Pistachos', '100 g de Labneh', '2 cs de Miel', 'Ralladura de limón', 'Menta'];"['Pela la naranja sanguina y el pomelo y corta en gajos y en rodajas.', ""Cocina los 'waffles' a la plancha y sirve cada uno en un plato."", ""Incorpora por encima la naranja y el pomelo y coloca en el centro un poco del 'labneh' -o crema de queso o yogur en su defecto-."", 'Añade la ralladura de limón, los pistachos y la miel y decora con hojitas de menta.']";lácteos
Yogur con azafrán, miel y pistachos;https://images.hola.com/imagenes/cocina/recetas/20210701192398/yogur-con-azafran-miel-pistachos/0-970-610/yogur-azafran-adobe-z.jpg;4 COMENSALES;15min;Fácil;['4 ud de Yogur cremoso', '0.5 vasito de Leche', '5 hebras de Azafrán', '4 cc de Miel', '75 g de Pistachos'];['Echa en un cazo la leche, ponla al fuego y cuando rompa a hervir, echa las hebras de azafrán. Retira, ponle una tapa y deja que se infusione. Espera a que se enfríe.', 'Pela los pistachos y pícalos en trocitos.', 'Escurre los yogures el agua que pueden tener y échalos en un bol.', 'Añade la miel y  la leche infusionada con el azafrán.', 'Mezcla todo bien y reparte en unos vasitos o copas.', 'Espolvorea con los pistachos y deja que se enfríe en la nevera hasta un poquito antes de servir.'];lácteos
