titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;nombre_categoria
Chocolate a la taza con praliné de avellana y nata;https://images.hola.com/imagenes/cocina/recetas/20230104224047/chocolate-taza-praline-avellanas-nata/1-186-30/praline-adobe-z.jpg;4 COMENSALES;10min;Fácil;['350 g de Chocolate en tableta especial a la taza', '1 litro de Leche', '1 unidad de Canela en rama', '2 cs de Praliné de avellanas', 'Nata montada', 'Cacao en polvo y/o canela en polvo'];['Echa la leche con la rama de canela en un cazo y pon al fuego.', 'Deja que hierva, retira del fuego y quita la rama de canela.', 'Baja la potencia, añade el chocolate troceado y no dejes de remover con una varilla.', 'Cuando esté bien integrado, retira del fuego y echa el praliné de avellanas.', 'Sirve el chocolate en 4 tazas y decora con nata montada.', 'Espolvorea cacao y/o canela en polvo.'];bebidas
Chocolate a la taza con café y pimienta roja;https://images.hola.com/imagenes/cocina/recetas/20230104224044/chocolate-taza-cafe-pimienta-roja/1-186-17/choco-cafe-adobe-z.jpg;4 COMENSALES;10min;Fácil;['250 g de Cacao en polvo', '0.75 litro de Leche', '0.25 litro de Café expreso', '2 cs de Azúcar de vainilla', 'Pimienta roja'];['Echa la leche y el café en un cazo y pon a calentar al fuego.', 'Incorpora el azúcar avainillado.', 'Echa el cacao y no dejes de remover con una cuchara de madera o una varilla hasta que esté bien integrado.', 'Espera que hierva y tenga cierta consistencia pero sin que llegue a espesar en exceso.', 'Sirve en unas tazas y añade en cada uno un toque de pimienta roja recién molida.'];bebidas
Café vienés con nata y pan de jengibre;https://images.hola.com/imagenes/cocina/recetas/20221128221830/cafe-vienes-con-nata-y-pan-de-jengibre/1-170-836/cafe-vienes-con-nata-y-pan-de-jengibre-c.jpg;6 COMENSALES;25min;Fácil;['100 g de Cacao en polvo', '500 ml de Café', '300 g de Nata para montar', '1 cucharadita de Azúcar blanca por cada café', '1 cucharada de Azúcar glas', '1 trozo de Pan de jengibre'];['Para hacer este café vienés con nata y pan de jengibre, lo primero que debes preparar es un café intenso, a ser posible en una cafetera italiana o en una cafetera exprés.', 'Sirve el café en un bonito vaso de cristal de buen tamaño y endulza al gusto. Lo ideal es añadir no más de una cucharilla de azúcar por vaso, dado que después añadiremos también chocolate y nata.', 'Calienta la mitad de la nata en un cazo y, cuando esté a punto de hervir, aparta del fuego e incorpora el chocolate troceado. Remueve con una espátula hasta que el chocolate se haya derretido por completo.', 'Añade la nata sobre cada uno de los cafés y mezcla bien.', 'La otra mitad de la nata, que debe estar muy fría, móntala con un poco de azúcar glas hasta que esté bien firme.', 'Corona tu café vienés con una buena cantidad de nata montada.', 'Termina con un poco de pan de jengibre desmigado por encima. Sirve inmediatamente.'];bebidas
Kombucha neutra;https://images.hola.com/imagenes/cocina/recetas/20220624212499/kombucha-neutra/1-106-339/kombucha-neutra-z.jpg;;30min;Fácil;"['1 litro de Agua', '65 g de Azúcar blanca', '65 g de Té negro', ""300 ml de Kombucha y 'scoby'""]";['Infusionar a 90º el té con el agua durante 20 minutos.', 'Disolver el azúcar pasados esos 20 minutos.', 'Colar y reservar hasta que el agua esté por debajo de 40°C.', 'Añadir el scoby y la kombucha.', 'Fermentar entre 7, 14 a 20 días aproximadamente (ir probando hasta lograr un toque asidrado) a una temperatura de 20°C tapado con un paño.', 'Una vez tengamos la kombucha deseada retiramos 1 litro de kombucha y reservamos en frío.', 'Dejar un poco de kombucha para hacer una nueva tirada.', 'A la kombucha base, se le pueden añadir arándanos, trocitos de piña, zumo de naranja, café...'];bebidas
Chocolate con malvaviscos;https://images.hola.com/imagenes/cocina/recetas/20220103202271/chocolate-con-malvaviscos/1-37-93/nubes-adobe-z.jpg;4 COMENSALES;15min;Fácil;['1 tableta de Chocolate para postres', '1 litro de Leche', '1 pizca de Canela molida', '1 pizca de Jengibre seco en polvo', '1 pizca de Anís en polvo', 'Malvaviscos'];['Trocea la tableta de chocolate.', 'Echa la leche en un cazo y ponla en el fuego a calentar a no demasiada potencia.', 'Agrega el chocolate y las especias y remueve con una cuchara de madera.', 'Espera a que el chocolate esté bien integrado.', 'Reparte el chocolate en tazas y decora con los malvaviscos.'];bebidas
Sangría granizada de pepino y lima;https://images.hola.com/imagenes/cocina/recetas/20210621191816/sangria-granizada-pepino-lima/0-966-817/pepino-age-z.jpg;4 COMENSALES;15min;Fácil;['750 ml de Vino blanco seco', '1 chupito de Vermú blanco', '1 unidad de Pepino', '0.5 litro de Soda o tónica', '2 cc de Azúcar blanca', '2 ud de Lima', 'Hielo pilé', 'Eneldo'];['Lava, seca y corta en rodajas finas el pepino.', 'Exprime las limas y cuela el zumo.', 'Mezcla en una jarra grande el vino blanco, el zumo de lima, el vermú blanco y el azúcar. Remueve bien.', 'En cada vaso sirve unas rodajas de pepino y un poco de hielo pilé.', 'Llena con la sangría de la jarra, decora con eneldo fresco y sirve.'];bebidas
Ponche navideño de anís;https://images.hola.com/imagenes/cocina/recetas/20201212180981/ponche-de-navidad-de-anis/0-900-175/anis-adobe-z.jpg;4 COMENSALES;30min;Fácil;['500 ml de Leche', '4 ud de Yemas de huevo', '50 g de Azúcar blanca', '1 unidad de Canela en rama', '1 unidad de Anís estrellado', '50 ml de Anís dulce', 'Canela molida'];['Calienta la leche en un cazo con la canela y la estrella de anís, apaga cuando hierva y deja que se infusione.', 'Bate el azúcar con las yemas hasta que se blanquen ligeramente.', 'Cuela la leche y agrega la mezcla de yemas.', 'Remueve hasta que adquiera consistencia cremosa e incorpora el anís dulce.', 'Mezcla bien, sirve en vasos y decora con canela molida, estrellas de anís y canela en rama.'];bebidas
'Eggnogg' de coco;https://images.hola.com/imagenes/cocina/recetas/20201212180980/eggnog-de-coco/0-900-174/coco-age-z.jpg;4 COMENSALES;40min;Fácil;['350 ml de Leche de coco', '4 ud de Huevo', '80 g de Azúcar moreno', '50 ml de Licor de coco', 'Canela molida'];['Echa la leche de coco en un cazo y calienta.', 'Bate los huevos con el azúcar hasta que adquieran un aspecto blanquecino y esponjoso.', 'Cuando la leche se haya atemperado ligeramente  incorpora la mezcla de huevos y azúcar y bate bien hasta que que adquiera una consistencia cremosa. Si fuera necesario, vuelve a poner en el fuego, suave, sin dejar de batir, hasta que la crema espese.', 'Aparta la crema del fuego e incorpora el licor de coco. Mezcla bien para que se integre y reserva en un bol. Deja que termine de enfriarse a temperatura ambiente.', 'Sirve en vasos y decora con canela en polvo.'];bebidas
Vino caliente con especias ('glühwein´);https://images.hola.com/imagenes/cocina/recetas/20201123179738/vino-caliente-gluhwine/0-892-411/vino-caliente-adobe-z.jpg;6 COMENSALES;15min;Fácil;['1 litro de Vino tinto', '6 cs de Azúcar blanca', '1 unidad de Canela en rama', '4 ud de Clavo', '2 ud de Anís estrellado', '4 rodajas de Naranja', '1 cucharadita de Miel', '2 ud de Semillas de cardamomo', '3 ud de Enebro'];['Echa el vino con el azúcar y la miel en una cazuela.', 'Agrega las especias: canela, clavo, anís, cardamomo y enebro.', 'Incorpora las rodajas de naranja, pon al fuego y deja cocer unos minutos a fuego lento.', 'Deja reposar unos minutos para que infusione bien y se mezclen todos los sabores.', 'Cuela y sirve con la canela y las rodajas de fruta.'];bebidas
'Pink' Latte;https://images.hola.com/imagenes/cocina/recetas/20201110178906/pink-latte/0-887-271/pink-latte-c.jpg;2 PORCIONES;15min;Fácil;"['2 ud de Remolachas', '500 ml de Bebida vegetal', '1 cucharadita de Esencia de vainilla', '1 cucharadita de Miel o sirope de agave', ""1 'shot' de Café""]";['Pelamos y cocemos las remolachas. Si conseguimos zumo de remolacha, podemos utilizarlo también, será mucho más fácil y rápido.', 'Cuando ya estén blanditas, retiramos y trituramos. Conservamos el zumo en la nevera. Si vemos que no ha quedado suficiente agua para crear ese zumo, añadimos un poco más o, si lo preferimos, un poco de bebida vegetal.', 'Hacemos nuestro café expreso, no más de 30 ml.', 'En una cazuela, hervimos la bebida vegetal (nosotros preferimos la bebida de almendras) y añadimos la esencia de vainilla y el sirope de ágave. Antes de que rompa a hervir, añadimos el zumo de remolacha y removemos, integrando bien.', 'Echamos el contenido sobre el café de cada vaso.'];bebidas
Batido de leche de almendras y té 'matcha';https://images.hola.com/imagenes/cocina/recetas/20201020177556/batido-leche-almendras-te-matcha/0-879-866/batido-gtres-z.jpg;4 COMENSALES;5min;Fácil;['1 cucharadita de Té matcha', '100 ml de Agua muy caliente', '200 ml de Leche de almendras', 'Edulcorante al gusto (jarabe de arce, azúcar, miel, etc)'];"[""Si se va a utilizar un batidor de bambú (utensilio clásico para preparar el té 'matcha'), ablanda las cerdas sumergiéndolo unos instantes en agua caliente."", 'Coloca el polvo de té en un vaso o tazón y vierte el agua caliente sobre él batiendo vigorosamente hasta que esté espumoso.', 'Calienta la leche sin que llegue a hervir e incorpora al té sin dejar de batir.', 'Endulza al gusto con sirope de arce, miel o unas gotas esencia de vainilla.', 'Consume al instante.']";bebidas
Smoothie de calabaza, naranja, nueces pecanas, miel, avena, canela y anís;https://images.hola.com/imagenes/cocina/recetas/20201001176416/smoothie-calabaza-naranja-nueces/0-872-767/smoothie-adobe-z.jpg;4 COMENSALES;15min;Fácil;['0.5 litro de Bebida vegetal de avena', '1 trozo de Calabaza', '2 ud de Naranja', '1 cucharada de Miel', '1 cucharada de Copos de avena', '1 cucharada de Nueces pecanas', '1 pizca de Canela molida', '1 pizca de Anís en polvo', '4 ud de Cubitos de hielo'];"['Pela, quita las semillas y trocea la calabaza.', 'Exprime el zumo de las naranjas y ralla un poco de la piel.', 'Mezcla la calabaza, el zumo y la ralladura de naranja, las nueces pecanas y los copos de avena.', 'Incorpora la bebida vegetal de avena, la miel, la canela y el anís en polvo.', 'Añade los cubitos de hielo y tritura con la batidora o con el robot de cocina.', ""Reparte el 'smoothie' en vasos o copas ¡y a disfrutar!""]";bebidas
Té helado con lima y menta;https://images.hola.com/imagenes/cocina/recetas/20200825174073/te-helado-lima-menta/0-858-451/te-helado-c.jpg;4 COMENSALES;10min;Fácil;['1 litro de Agua', '5 cs de Té negro', '1 Lima', '10 hojas de Menta'];['En un cazo, llevar 250 de agua a ebullición.', 'Incorporar el té y la menta y dejar reposar durante 5 min.', 'Colar el té y endulzarlo en este momento si se quiere.', 'Añadir 750 ml de agua helada y repartir en cuatro vasos o botellitas de cristal.', 'Partir la lima en cuatro partes y ponerlas en cada uno de los vasos. Colocar una pajita y, si se prefiere más frío, añadir algún hielo.'];bebidas
Granizado de mango y piña con chile;https://images.hola.com/imagenes/cocina/recetas/20200825174075/granizado-mango-pina-chile/0-858-455/granizado-mango-c.jpg;6 COMENSALES;20min;Fácil;['4 Mangos', '0.5 Piña', '75 g de Azúcar', '500 ml de Agua', '3 cs de Bayas de Goji', '1 cucharadita de Chile en polvo'];['Poner en un cazo a fuego lento el agua junto con el azúcar hasta que este se disuelva por completo.', 'Pelar los mangos y deshuesarlos.', 'Pelar la media piña y desechar la parte central más dura.', 'Partirlo todo en trozos, ponerlos en un recipiente alto con el jarabe de azúcar y batir con una batidora eléctrica.', 'Picar 2 cucharadas de bayas de goji y añadirlas junto con la cucharadita de chile en polvo.', 'Meter la mezcla al congelador y deshacer con un tenedor los cristales que se van formando cada 30 min al menos cuatro veces.', 'A la hora de servir, sacar el granizado del congelador, pasarlo por la batidora y servir en vasos altos espolvoreando con más bayas y un poquito de chile si se desea.'];bebidas
Café de champiñones;https://images.hola.com/imagenes/cocina/recetas/20200824174020/cafe-champinones-setas/0-858-166/cafe-setas-receta-c.jpg;1 PORCIONES;5min;Fácil;['1 cucharada de Cacao en polvo', '1 cucharada de Azúcar moreno', '0.5 cucharada de Canela molida', '2 cc de Champiñones Polvo de', '150 ml de Café recién hecho', '150 ml de Bebida vegetal de almendras'];['Colocamos todos los ingredientes en el vaso de nuestra batidora y los trituramos hasta conseguir una textura cremosa y homogénea.', 'Lo servimos preferiblemente caliente, aunque si lo preferimos, podemos hacerlo frío con un par de hielos. Eso sí, mejor recién hecho.'];bebidas
Infusión de cúrcuma y canela;https://images.hola.com/imagenes/cocina/recetas/20200813173556/infusion-curcuma-canela/0-855-677/infusion-curcuma-canela-c.jpg;2 COMENSALES;20min;Fácil;['1 cucharadita de Cúrcuma en polvo o dos cucharadas de raíz de cúrcuma rallada', '1 litro de Agua', 'Miel', 'Limón en rodajas o unas gotitas de zumo de limón', 'Canela molida'];['Ponemos en un cazo a hervir el litro de agua y, cuando rompan las primeras burbujas, echamos la cúrcuma. Si son las dos cucharadas de cúrcuma rallada, dejaremos 20 minutos, pero si utilizamos cúrcuma en polvo, tan solo necesitaremos 10 minutos.', 'Retiramos del fuego y añadimos un poco de canela molida, un chorrito de miel y un poco de limón, removiendo bien y dejando que se atempere.'];bebidas
Agua con pepino y limón;https://images.hola.com/imagenes/cocina/recetas/20200721172405/agua-pepino-limon-hierbabuena/0-848-930/agua-pepino-limon-menta-c.jpg;4 COMENSALES;5min;Fácil;['Agua', 'Hielo', 'Limón', 'Pepino', 'Hierbabuena'];['Llenamos nuestra jarra de agua fría y ponemos hielo hasta que llegue al borde. Tenemos que asegurarnos de que está muy fría.', 'Lavamos nuestro pepino y lo cortamos en rajas longitudinales. Lavamos también nuestro limón y lo cortamos en rodajas.', 'Introducimos los ingredientes en la jarra y picamos un poco de hierbabuena fresca en ella. Removemos y dejamos reposar, para que se mezclen bien todos los aromas. Si queremos darle un toque más dulce, podemos diluir una cucharadita de miel.'];bebidas
Agua al estilo ruso;https://images.hola.com/imagenes/cocina/recetas/20200721172400/agua-frutas-receta-rusa/0-848-922/agua-saborizada-receta-rusa-c.jpg;4 COMENSALES;5min;Fácil;['0.5 unidad de Zumo de naranja', 'Agua', 'Hielo', 'Grosellas (variedades negra, roja y uva crispa)', '0.5 unidad de Zumo de limón', 'Sal', '1 pizca de Copos de chile', 'Menta'];['Extraemos el zumo de la media naranja y el medio limón.', 'Ponemos ambos zumos en una jarra con agua fría y mucho hielo.', 'Diluimos la sal y el chile picado, para darle ese toque picante.', 'Lavamos bien todas nuestras grosellas y las añadimos, en piezas enteras o partidas por la mitad. Añadimos también unas hojas de menta fresca. Mezclamos y dejamos reposar unos minutos para que el agua se impregne bien de todo el sabor. Servimos muy fría.'];bebidas
