titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;nombre_categoria
Coca de anchoas, tomate y queso con pesto;https://images.hola.com/imagenes/cocina/recetas/20230321228543/coca-anchoas-tomate-queso-pesto/1-222-967/coca-anchoa-age-z.jpg;4 COMENSALES;1h 5min;Fácil;['375 g de Harina', '1.5 decilitro de Aceite de oliva virgen extra', '1.5 decilitros de Vino blanco', '1.5 decilitros de Agua', 'Sal', 'Queso rallado', '2 ud de Tomate', '12 ud de Anchoas', '100 g de Ricotta', '4 cs de Salsa pesto'];['En un cuenco grande echa la harina, el vino, el aceite, el agua y un poco de sal.', 'Amasa, tapa con un trapo o con film y deja reposar durante una media hora.', 'Precalienta el horno a 180 grados.', 'Divide la masa en 4 porciones, haz unas bolitas, coloca en una bandeja con papel y aplasta ligeramente.', 'Espolvorea un poco de queso rallado y mete en el horno durante unos 25-30 minutos a 180 grados.', 'Lava, seca y corta los tomates en rodajas.', 'Saca las cocas y coloca encima el tomate, las anchoas, la ricotta en trocitos y la salsa pesto.'];masas
Pizza de remolacha y cebolla morada caramelizada con queso de cabra y canónigos;https://images.hola.com/imagenes/cocina/recetas/20230307227685/pizza-remolacha-cebolla-morada-queso-canonigos/1-214-844/pizzaflorette-z.jpg;;35min;Fácil;['1 unidad de Masa de pizza', '1 unidad de Remolacha cocida', '1 puñado de Canónigos', '2 ud de Cebolla morada', '250 g de Queso crema', '200 g de Queso de cabra en rulo', 'Aceite de oliva virgen extra'];['Pon una sartén en el fuego y pocha la cebolla cortada en tiras con dos cucharadas de aceite hasta que comience a ablandarse.', 'Precalienta el horno a 200ºC.', 'Extiende la masa de pizza sobre una bandeja de horno y cubre la base con queso crema.', 'Coloca encima la cebolla morada y la remolacha previamente cortada en láminas finas.', 'Por último, añade los medallones de queso de cabra encima de la remolacha.', 'Hornea a 200ºC durante 20 minutos aproximadamente.', 'Fuera del horno, añade unos canónigos y unas gotas de aceite de oliva virgen extra.'];masas
Rosca estrellada con chorizo ibérico de Guijuelo;https://images.hola.com/imagenes/cocina/recetas/20230222226922/rosca-chorizo-iberico-guijuelo/1-207-967/rosca-chorizo-age-c.jpg;5 COMENSALES;50min;Medio;['400 g de Harina de trigo', '40 g de Levadura de panadería', '2 cs de Aceite de oliva', '1 cucharadita de Sal', 'Harina para las manos', '80 g de Chorizo ibérico de Guijuelo', '60 g de Queso manchego', '4 cs de Paté de aceitunas negras', '1 cucharada de Alcaparras', '1 Ajo', '2 ramitas de Romero', '2 cs de Aceite de oliva', 'Sal', 'Pimienta'];['Diluir la levadura en 225 ml de agua templada. Echar en una ensaladera los demás ingredientes, verter encima la mezcla de levadura, mezclar y amasar hasta formar una bola. Dejarla reposar 1 h.', 'Pelar y picar el ajo.', 'Lavar el romero, separar las hojitas, secarlas y picarlas.', 'Echar en un cuenco el paté, las alcaparras, el queso rallado, las hojitas de romero y el ajo picados, sal, pimienta y el aceite, mezclar y reservar.', 'Precalentar el horno a 200º.', 'Estirar la masa sobre una superficie enharinada hasta obtener un círculo de 30 cm.', 'Colocarlo en una bandeja de horno forrada con papel y señalar un círculo interior de 15 cm, en el que cortaremos, con un cortapastas, 8 triángulos sin desprenderlos de su base.', 'Extender en el resto de la masa el relleno y cubrir con las rodajas de chorizo.', 'Llevar hacia el exterior el vértice de los triángulos, humedecer estos e intentar sellarlos con el borde de la masa.', 'Meter en el horno a 200º entre 20 y 25 minutos, hasta que se dore.', 'Dejar enfriar un poco la rosca, llevarla a la mesa y cortarla en porciones.'];masas
Flores fritas de Carnaval;https://images.hola.com/imagenes/cocina/recetas/20230217226550/flores-fritas-de-carnaval/1-205-75/flores-carnaval-adob-c.jpg;8 COMENSALES;50min;Fácil;['300 g de Harina de trigo', '0.5 l de Leche', '3 ud de Huevo', '1 chorrito de Anís', '1 pizca de Sal', 'Ralladura de limón', 'Ralladura de naranja', 'Aceite vegetal', 'Azúcar blanca', 'Molde de hierro de flor'];['Batimos en un bol los huevos con el azúcar hasta que la mezcla se torne blanquecina.', 'Incorporamos la leche, un pellizco de sal, la harina de trigo, las ralladuras y un chorrito de anís.', 'Batimos bien hasta que nos quede una pasta homogénea sin grumos.', 'Dejamos reposar media hora la pasta en la nevera.', 'En una sartén honda o una cazuela calentamos, a temperatura media, abundante aceite vegetal e introducimos el molde de flor dentro.', 'Cuando el molde esté caliente lo sacamos del aceite y lo metemos en la pasta, pero sin llegar al borde, sólo un centímetro de su altura más o menos, para que luego se desprenda la flor fácilmente.', 'Introducimos el molde impregnado con la masa en la sartén, lo apoyamos en el fondo y pasados unos segundos, levantamos el molde quedando la flor dentro del aceite.', 'Hacemos todas las flores para las que nos dé de sí la masa.', 'Las sacamos sobre papel de cocina para eliminar el exceso de aceite.', 'Espolvoreamos con azúcar y ¡listas!'];masas
'Clafoutis' de tomates cherry, queso y aceitunas negras;https://images.hola.com/imagenes/cocina/recetas/20230215226476/clafoutis-tomates-cherry-queso-aceitunas-negras/1-204-542/clafoutis-cherry-z.jpg;4 COMENSALES;40min;Fácil;['30 ud de Tomates cherry', '250 ml de Leche entera o bebida vegetal sin azúcar', '3 ud de Huevo', '120 g de Harina', '75 g de Queso emmental rallado', '12 ud de Aceitunas negras deshuesadas', '1 cucharadita de Orégano', '20 g de Mantequilla', 'Sal', 'Pimienta'];"['Escurre y pica las aceitunas con un cuchillo. Lava, seca y quita el rabito de los tomates cherry.', ""Engrasa los moldes de unas 'cocottes' con mantequilla y distribuye los tomates por igual en cada una."", 'Precalienta el horno a 180ºC.', 'En un bol grande, bate los huevos con la leche y la harina. Agrega el emmental y las aceitunas deshuesadas y picadas.', 'Sazona con orégano, sal y pimienta.', 'Vierte la mezcla sobre los tomates cherry y hornea durante 25 minutos.', ""Sirve los 'cafloutis' calientes o templados.""]";masas
Crepes de pollo y champiñones;https://images.hola.com/imagenes/cocina/recetas/20230201225606/crepes-pollo-champinon/1-197-860/pollo-champis-ade-z.jpg;4 COMENSALES;40min;Fácil;['200 ml de Preparado para crepes', 'Leche', '1 unidad de Pechuga de pollo', '200 g de Champiñones', '2 dientes de Ajo', '1 unidad de Cebolla', '200 ml de Nata para cocinar', 'Aceite de oliva virgen extra', 'Sal', 'Pimienta', 'Perejil fresco'];['Pela y corta el ajo y la cebolla en daditos.', 'Corta la pechuga de pollo en tiras y pica los champiñones.', 'Echa aceite en una sartén, pon al fuego y cocina la cebolla, el ajo y los champiñones.', 'Añade el pollo, salpimenta y cocina hasta que esté bien hecho.', 'Cuando comience a dorarse, agrega la nata y deja reducir. Incorpora perejil picado.', 'Mezcla el preparado de crepes con la leche según las indicaciones del envase.', 'Engrasa una sartén antiadherente y echa la masa para cocinar las crepes por ambos lados.', 'Rellena cada crepe con la mezcla de pollo y champiñón, enrolla y coloca en una fuente.', 'Lleva a la mesa para servir.'];masas
'Croissant' de salmón, huevo poché y queso crema;https://images.hola.com/imagenes/cocina/recetas/20230127225351/croissant-salmon-huevo-queso/1-196-57/croissant-salmonahum-adob-c.jpg;2 COMENSALES;15min;Medio;['2 Croissants', '1 sobre de Salmón ahumado (100 gramos)', 'Queso cremoso', '1 Aguacate', '2 Huevos', 'Espinacas (unas hojas)', 'Pistachos en polvo (decorar)', 'Bayas de Goji deshidratadas (decorar)', 'Brotes'];"[""Abrimos los 'croissants' por la mitad y los tostamos."", 'Los poché: Echa en una cazuela de bordes bajos agua y un buen chorro de vinagre y lleva a ebullición y mantén el fuego al mínimo hervor. Casca los huevos uno a uno en una taza y deposítalos en el agua con el vinagre hasta que la clara se cuaje, entre 3 y 4 minutos. Escúrrelos sobre papel absorbente.', 'Una vez tostados los croissants, untamos la base con una capa generosa de queso cremoso, disponemos encima unas hojas de espinaca y unas lochas de salmón ahumado.', 'A continuación sumamos unas lonchas de aguacate (pelado y cortado previamente).', 'Disponemos encima con cuidado el huevo.', 'Espolvoreamos por encima con una piza de pistachos en polvo y unas bajas de goji deshidratadas muy picaditas', ""Decoramos con unos brotes, tapamos cada 'croissant' con la la mitad superior... ¡y a disfrutar!""]";masas
Pastel de ricotta y borraja con pesto de rúcula;https://images.hola.com/imagenes/cocina/recetas/20230118224803/pastel-ricotta-borraja-pesto-rucula/1-191-733/ricota-borraja-age-z.jpg;4 COMENSALES;1h 15min;Medio;['0.5 kilogramo de Harina', '200 ml de Vino blanco', '100 ml de Aceite de oliva virgen extra', '1 cucharadita de Sal', '200 g de Hojas de borraja', '200 g de Tallos de borraja', '1 unidad de Cebolla', '300 g de Ricotta', '1 unidad de Huevo', 'Sal', 'Pimienta', '100 g de Rúcula', '30 g de Piñones', '50 g de Queso parmesano', '1 diente de Ajo', '125 ml de Aceite de oliva', 'Sal'];['Pon la harina junto con la sal en un cuenco y mezcla.', 'Haz un hueco en el centro y añade el aceite de oliva y el vino blanco.', 'Mezcla con las manos y amasa hasta que quede una textura lisa y firme.', 'Envuelve en papel film y deja reposar mientras haces el resto de la receta.', 'Pela el ajo y échalo en el vaso de la batidora.', 'Añade el aceite, luego el queso rallado, los piñones, una pizca de sal y la rúcula.', 'Tritura y si ves que queda muy denso, agrega un poquito más de aceite. Reserva.', 'Pela y pica la cebolla.', 'Lava las hojas y los tallos de las borrajas. Limpia bien los tallos y corta en trocitos.', 'Pon un cazo con agua y sal en el fuego y cuando hierva, añade las hojas y los tallos, tapa y espera unos 15 minutos. Escurre y seca bien.', 'Pon una sartén al fuego, echa un poco de aceite y rehoga la cebolla y sal.', 'Incorpora las hojas y los tallos de la borraja y rehoga unos minutos más.', 'Echa en un bol el contenido de la sartén, añade el huevo y la ricotta y un poco de pimienta.', 'Mezcla todo bien.', 'Precalienta el horno a 180 grados.', 'Enharina la mesa de trabajo, coloca encima la masa y estira con un rodillo dándole forma redonda.', 'Pon la masa en una bandeja cubierta con papel, coloca el relleno de borraja en el centro de la masa y dobla el borde hacia dentro.', 'Añade un poco de pesto y hornea durante unos 30 minutos a 180 grados.', 'Saca con cuidado, deja templar y sirve el pastel en porciones con un poco más de pesto y, si quieres, puedes decorar con unas hojas de rúcula.'];masas
Árbol de hojaldre relleno de jamón y queso;https://images.hola.com/imagenes/cocina/recetas/20230102223926/arbol-hojaldre-jamon-queso/1-185-213/hojaldre-arbol-adobe-z.jpg;4 COMENSALES;35min;Fácil;['1 unidad de Lámina de hojaldre', '4 lonchas de Jamón cocido', '4 lonchas de Queso', '1 unidad de Huevo', 'Aceitunas verdes deshuesadas'];"['Precalienta el horno a 180ºC, con calor arriba y abajo.', 'Estira la plancha de hojaldre y parte por la mitad.', 'Coloca encima de una de las mitades las lonchas de jamón cocido y las de queso.', 'Tapa con la otra mitad de hojaldre y corta en 4 tiras alargadas.', ""Dobla cada tira de hojaldre sobre sí misma, haciendo 'eses' para formar los árboles, y trata de que los primeros dobles sean más largos que la parte final para que las piezas queden con forma triangular."", 'Ensarta cada pieza en una brocheta para que mantenga la forma.', 'Coloca sobre una bandeja cubierta con papel de horno y pinta con el huevo batido.', 'Hornea durante 25 minutos a 180ºC.', 'Saca con cuidado, deja que se templen y sirve con una aceituna en la punta de cada árbol.']";masas
Mini hojaldres de ricotta y espinacas con tomate;https://images.hola.com/imagenes/cocina/recetas/20221207222402/mini-hojaldres-rellenos-ricotta-espinacas-tomate/1-174-766/hojaldres-espinacas-age-z.jpg;4 COMENSALES;25min;Fácil;['1 unidad de Lámina de hojaldre', '200 g de Ricotta', '250 g de Espinacas', '1 unidad de Tomate', 'Sal'];['Precalienta el horno a 200 grados.', 'Pon una cazuela con agua y sal a hervir. Añade las espinacas y déjalas cocer 3-4 minutos, escurre bien.', 'Corta el hojaldre con un molde de flor pequeño, mete las puntas un poco hacia dentro, coloca unos garbanzos en el centro y mete en el horno durante 5 minutos a 180 grados.', 'Lava el tomate y córtalo en medias lunas.', 'En un cuenco mezcla las espinacas y el queso ricotta.', 'Saca los hojaldres, retira los garbanzos, rellena con la mezcla anterior y coloca un gajo de tomate encima.', 'Vuelve a meter en el horno durante unos 8-10 minutos vigilando que no quemen.', 'Saca del horno y ya tienes listos estos bocaditos para servir como más te apetezca.'];masas
